,household_id,origin,destination,depart,home_zone_id,income,emp_15min
43345,917332,2604,2466,21,2466,165293,28689.3381
43346,917332,2565,2466,13,2466,165293,28689.3381
43347,917437,2466,2790,9,2466,118026,28689.3381
43348,917437,2790,2577,18,2466,118026,28689.3381
43349,917437,2577,2466,18,2466,118026,28689.3381
43350,917437,2466,2835,7,2466,118026,28689.3381
43351,917437,2835,2466,8,2466,118026,28689.3381
43352,917437,2466,2466,18,2466,118026,28689.3381
43353,917437,2466,2466,19,2466,118026,28689.3381
43354,918946,2466,2706,7,2466,17557,28689.3381
43355,919639,2466,2525,7,2466,122373,28689.3381
