,trip_id,person_id,household_id,primary_purpose,trip_num,outbound,trip_count,destination,origin,tour_id,purpose,destination_logsum,depart,trip_mode,mode_choice_logsum,atap,btap,path_set
24838,2560309,7805,3093,shopping,1,False,1,94914,97240,320038,home,,17.0,SHARED3FREE,0.8887911273898651,,,
24848,2561578,7809,3094,othmaint,2,True,2,97142,98997,320197,othmaint,,13.0,SHARED3FREE,0.8568740326294582,,,
24849,2561581,7809,3094,othmaint,1,False,1,97617,96892,320197,home,,13.0,SHARED3FREE,0.7317935673115683,,,
24935,2572818,7843,3106,work,2,True,2,97150,97129,321602,work,,12.0,SHARED3FREE,1.5643937490022402,,,
24957,2574887,7850,3108,escort,3,False,3,92302,94737,321860,home,,19.0,SHARED3FREE,2.0405098092897336,,,
25372,2617845,7981,3159,escort,1,False,1,98300,94337,327230,home,,12.0,SHARED3FREE,0.1176595985565716,,,
25462,2628250,8012,3173,work,2,True,2,97306,96055,328531,work,,8.0,SHARED3FREE,-0.399506226928167,,,
25587,2640365,8049,3190,social,1,False,1,96081,96897,330045,home,,19.0,SHARED3FREE,1.290113878196837,,,
25635,2644749,8063,3196,escort,1,False,1,96656,95012,330593,home,,14.0,SHARED3FREE,0.7096825221183897,,,
25781,2660021,8109,3214,shopping,1,False,1,181955,99049,332502,home,,15.0,SHARED3FREE,1.4859932958907458,,,
25865,2666673,8130,3223,atwork,1,True,2,96055,99026,333334,work,35.30453877733913,12.0,SHARED3FREE,2.3062511603344005,,,
26040,2683901,8182,3244,othdiscr,1,False,1,170329,181955,335487,home,,19.0,SHARED3FREE,0.5338265416935515,,,
26113,2690461,8202,3253,othdiscr,1,False,1,95058,96038,336307,home,,16.0,SHARED3FREE,1.150830977662599,,,
26143,2693526,8211,3256,work,2,False,2,97596,96162,336690,home,,18.0,SHARED3FREE,1.011726168346476,,,
26152,2694786,8215,3258,shopping,2,True,2,99237,179185,336848,shopping,,19.0,SHARED3FREE,1.0773260125352224,,,
26227,2701283,8235,3268,othdiscr,3,True,3,98543,97604,337660,othdiscr,,13.0,SHARED3FREE,0.3049245614649357,,,
26573,2734290,8336,3307,escort,2,True,2,94974,92955,341786,escort,,12.0,SHARED3FREE,0.2197380660760309,,,
26652,2741413,8357,3314,work,1,False,1,95646,97127,342676,home,,16.0,SHARED3FREE,0.8653368250819207,,,
26854,2762010,8420,3336,school,2,True,2,96178,98573,345251,school,,8.0,SHARED3FREE,1.5618531067740686,,,
26866,2763061,8423,3337,work,1,False,1,97592,98403,345382,home,,18.0,SHARED3FREE,1.218290857809846,,,
26970,2771261,8448,3346,work,1,False,1,95906,96182,346407,home,,20.0,SHARED3FREE,0.8964579788541077,,,
27713,2848010,8682,3442,work,2,True,2,97393,97606,356001,work,,10.0,SHARED3FREE,2.920384836120033,,,
27762,2852277,8695,3446,work,1,False,1,97130,98928,356534,home,,19.0,SHARED3FREE,0.8265952636861497,,,
28053,2885290,8796,3486,othdiscr,2,True,2,97405,95012,360661,othdiscr,,12.0,SHARED3FREE,0.3782336202887064,,,
28651,2941865,8969,3548,atwork,1,True,1,96650,96660,367733,atwork,,11.0,SHARED3FREE,1.940133809055676,,,
29267,3005389,9162,3626,school,1,False,1,96435,97596,375673,home,,17.0,SHARED3FREE,-1.9055543794344287,,,
30167,3099260,9448,3738,work,4,True,4,96405,97621,387407,work,,6.0,SHARED3FREE,1.390383723552432,,,
30222,3104837,9465,3745,work,1,False,1,95659,96652,388104,home,,16.0,SHARED3FREE,0.7944482364396362,,,
30541,3135101,9558,3782,escort,1,False,1,94163,97633,391887,home,,12.0,SHARED3FREE,1.4328393286784038,,,
30672,3151085,9606,3801,work,1,False,1,99239,97423,393885,home,,15.0,SHARED3FREE,1.3677250695606509,,,
30825,3166813,9654,3819,social,1,False,1,97408,95420,395851,home,,23.0,SHARED3FREE,1.4018452954460725,,,
31393,3225330,9833,3893,eatout,2,True,2,96408,97857,403166,eatout,,20.0,SHARED3FREE,-0.4410003202457183,,,
31703,3257949,9932,3934,school,1,False,1,96110,98018,407243,home,,16.0,SHARED3FREE,0.9455312574702984,,,
31792,3267829,9962,3945,social,1,False,1,96404,96647,408478,home,,17.0,SHARED3FREE,1.1792956872844038,,,
31828,3271546,9974,3951,escort,2,True,2,96661,98302,408943,escort,,8.0,SHARED3FREE,0.6306950375375799,,,
31911,3279269,9997,3961,school,1,False,1,96862,96167,409908,home,,14.0,SHARED3FREE,1.8194705823800024,,,
32236,3308149,10085,3999,shopping,1,False,2,169713,98665,413518,shopping,16.904677966793614,9.0,SHARED3FREE,0.9807116781821807,,,
32406,3326191,10140,4020,shopping,3,False,3,95905,95098,415773,home,,13.0,SHARED3FREE,0.8538060499348923,,,
32472,3335093,10167,4030,work,1,False,1,94999,95184,416886,home,,17.0,SHARED3FREE,1.2981712052100924,,,
32582,3344866,10197,4042,school,2,True,3,97433,98739,418108,social,5.126018857656125,7.0,SHARED3FREE,-2.710235165087167,,,
32721,3357861,10237,4058,othdiscr,1,False,2,97424,94987,419732,social,10.920184743230292,12.0,SHARED3FREE,-1.0564545012401794,,,
33178,3406874,10386,4120,shopping,2,True,2,96774,94804,425859,shopping,,13.0,SHARED3FREE,0.5796715406188236,,,
33185,3407343,10388,4121,escort,3,False,3,96079,93391,425917,home,,10.0,SHARED3FREE,0.2184198496871051,,,
33441,3435789,10474,4153,work,1,False,1,98540,97127,429473,home,,18.0,SHARED3FREE,0.8941786886158462,,,
33853,3481757,10615,4211,atwork,1,False,1,98543,99505,435219,work,,14.0,SHARED3FREE,2.14432166938603,,,
