FID,TAZ,SUBRAD,RAD,RADNUM,SUBAREAS,PUMA,Shape_STAr,Shape_STLe
1507,479,153,East Sacramento,14,2,Sac_6,7550175.55371,10971.9866728
1508,313,33,Antelope-North Highlands,7,13,Sac_1,63883673.9697,52506.1309011
1509,494,161,South Sacramento,19,7,Sac_8,13382821.6035,15916.8251355
1510,516,152,East Sacramento,14,2,Sac_6,8973795.02832,13540.9723368
1511,1516,170,Vineyard,20,7,Sac_9,16634900.8564,18043.484553
1512,1177,151,East Sacramento,14,2,Sac_6,5471738.79004,9534.41697412
1513,1210,170,Rosemont,15,8,Sac_9,10030996.3525,13606.4290757
1514,664,141,Land Park-Pocket-Meadowview,18,3,Sac_7,11062288.3262,15699.4944861
1515,658,141,Land Park-Pocket-Meadowview,18,2,Sac_7,5799169.08789,10842.6283479
1516,1141,524,Davis,52,20,Yolo,13332483.8926,17315.9591885
1517,609,170,Vineyard,20,7,Sac_9,13923541.6621,15857.1350786
1518,794,135,Downtown,1,2,Sac_4,4761505.9043,9078.57730891
1519,104,522,Davis,52,21,Yolo,15323667.7451,16735.5519867
1520,477,153,East Sacramento,14,2,Sac_6,7629707.91699,14550.700178
1521,1184,163,South Sacramento,19,7,Sac_8,10673682.5898,16433.8770552
1522,9,970,Gateway,97,0, ,11039589.8545,13250.9177691
1523,96,523,Davis,52,17,Yolo,256859822.628,70326.0695593
1524,509,163,South Sacramento,19,7,Sac_8,12842087.8447,14404.2960399
1525,1185,163,South Sacramento,19,7,Sac_8,9806479.11719,24227.5542378
1526,510,163,South Sacramento,19,7,Sac_8,22001862.2119,19131.7876585
1527,504,163,South Sacramento,19,7,Sac_8,6136286.64648,12297.4659843
1528,502,163,South Sacramento,19,7,Sac_8,8444089.4043,14210.9368516
